CLAVE SITIO,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES
DLAGU0001RNL21,PRESA NATILLAS DE ABAJO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,COSIO,RÍO SAN PEDRO,PRESA NATILLAS DE ABAJO,LÉNTICO,PRESA,-102.3139,22.37292,2012-2024,23.2,Aceptable,48,Contaminada,50,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU0002RNL21,PRESA EL JOCOQUI,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,RINCÓN DE ROMOS,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.3609,22.12506,2012-2024,4.86,Buena calidad,18,Buena calidad,<10,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,VERDE,
DLAGU0003RNL21,BORDO SANTA ELENA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA SANTA ELENA,LÉNTICO,PRESA,-102.2503,21.909356,2012-2024,6.6,Aceptable,189,Contaminada,32,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU0004RNL21,HUMEDAL BUENAVISA DE PEÑUELAS  CHARCA NO. 5,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,HUMEDAL BUENAVISA,LÉNTICO,HUMEDAL,-102.300129,21.71844,2012-2024,11,Aceptable,43.75,Contaminada,19,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU0005RNL21,PRESA PEÑA BLANCA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA PEÑA BLANCA,LÉNTICO,PRESA,-102.7519722,21.905277,2012-2024,2.91,Excelente,49,Contaminada,<10,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU11,PRESA JOCOQUI 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.35794,22.12123,2012-2024,2.34,Excelente,35,Aceptable,10,Excelente,75.3081917,Excelente,3.355260403,Excelente,,,,,107.6,Excelente,61.8,Buena calidad,36.2,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU12,PRESA EL JOCOQUI COLA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.37846,22.1358,2012-2024,2.38,Excelente,35.57,Aceptable,10,Excelente,127.1406558,Buena calidad,4.040191109,Excelente,,,,,99.9,Excelente,88.6,Excelente,60.8,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,1.14,Toxicidad baja,1.25,Toxicidad baja,VERDE,
DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.41856,22.14165,2012-2024,2.07,Excelente,24.24,Aceptable,10,Excelente,236.2894979,Aceptable,27.69565587,Excelente,,,,,103.6,Excelente,68.2,Buena calidad,42.8,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,1.83,Toxicidad moderada,VERDE,
DLAGU14,PRESA PRESIDENTE CALLES EMBARCADERO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.4263,22.15254,2012-2024,2,Excelente,27.72,Aceptable,10,Excelente,106.6602886,Buena calidad,7.489619984,Excelente,,,,,101.2,Excelente,74.5,Excelente,46.1,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU15,PRESA PRESIDENTE CALLES TECONGO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.44221,22.13077,2012-2024,2,Excelente,26.254,Aceptable,10,Excelente,40.87668265,Excelente,7.080950602,Excelente,,,,,99.1,Excelente,71.7,Excelente,41.6,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU16,PRESA PRESIDENTE CALLES RIO BLANCO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.44423,22.14564,2012-2024,2,Excelente,26.971,Aceptable,10,Excelente,39.21357806,Excelente,3.932414009,Excelente,,,,,99.9,Excelente,70.7,Excelente,40,Aceptable,,,,,<1,No tóxico,<1,No tóxico,1.53,Toxicidad moderada,2.15,Toxicidad moderada,VERDE,
DLAGU17,PRESA PRESIDENTE CALLES PAREDES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.45887,22.13645,2012-2024,3.59,Buena calidad,27.868,Aceptable,10,Excelente,58.94453883,Excelente,10.71246039,Excelente,,,,,97.8,Excelente,72.2,Excelente,42.05,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU18,PRESA 50 ANIVERSARIO CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA 50 ANIVERSARIO,LÉNTICO,PRESA,-102.4653,22.18899,2012-2024,3.06,Buena calidad,34.215,Aceptable,12.25,Excelente,292.0112454,Aceptable,16.72588809,Excelente,,,,,91.9,Excelente,48.4,Aceptable,21.85,Contaminada,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,AMARILLO,"OD%F,"
DLAGU23,PRESA LOS GRINGOS,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA LOS GRINGOS,LÉNTICO,PRESA,-102.26814,21.90766,2012-2024,26.33,Aceptable,137.125,Contaminada,55,Buena calidad,4389.384748,Contaminada,1457.239109,Fuertemente contaminada,,,,,140.8,Contaminada,50.65,Buena calidad,43.1,Aceptable,,,,,1.07,Toxicidad baja,<1,No tóxico,15.95,Toxicidad alta,<1,No tóxico,ROJO,"DQO,TOX_F_S,E_COLI,CF,OD%S,"
DLAGU24,PRESA EL CEDAZO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL CEDAZO,LÉNTICO,PRESA,-102.25658,21.86921,2012-2024,12.115,Aceptable,61,Contaminada,25,Excelente,9296.359188,Contaminada,3244.580614,Fuertemente contaminada,,,,,112.8,Buena calidad,62.4,Buena calidad,81.8,Excelente,,,,,<1,No tóxico,<1,No tóxico,1.51,Toxicidad moderada,1.59,Toxicidad moderada,ROJO,"DQO,E_COLI,CF,"
DLAGU28,PRESA EL NIAGARA 3500M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,-102.37299,21.81627,2012-2024,31.92,Contaminada,84.9,Contaminada,30,Buena calidad,>24196,Fuertemente contaminada,>24196,Fuertemente contaminada,,,,,10,Fuertemente contaminada,10,Fuertemente contaminada,10,Fuertemente contaminada,,,,,<1,No tóxico,<1,No tóxico,5.64,Toxicidad alta,7.58,Toxicidad alta,ROJO,"DBO,DQO,TOX_F_S,TOX_F_F,E_COLI,CF,OD%S,OD%M,OD%F,"
DLAGU29,PRESA EL NIAGARA 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,-102.37466,21.8007,2012-2024,26.7,Aceptable,91.33,Contaminada,31,Buena calidad,26897.0392,Fuertemente contaminada,24599.92326,Fuertemente contaminada,,,,,23.2,Contaminada,10,Fuertemente contaminada,10,Fuertemente contaminada,,,,,<1,No tóxico,<1,No tóxico,1.01,Toxicidad baja,20.53,Toxicidad alta,ROJO,"DQO,TOX_F_F,E_COLI,CF,OD%S,OD%M,OD%F,"
DLAGU30,PRESA EL NIAGARA 1000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,-102.36799,21.79024,2012-2024,19.575,Aceptable,81.6478,Contaminada,28,Buena calidad,19217.55043,Fuertemente contaminada,9164.829964,Fuertemente contaminada,,,,,10,Fuertemente contaminada,10,Fuertemente contaminada,10,Fuertemente contaminada,,,,,<1,No tóxico,<1,No tóxico,3.35,Toxicidad moderada,4.21,Toxicidad moderada,ROJO,"DQO,E_COLI,CF,OD%S,OD%M,OD%F,"
DLAGU32,PRESA EL NIAGARA 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,-102.3708,21.78043,2012-2024,20.45,Aceptable,101.8656,Contaminada,33,Buena calidad,22387.52164,Fuertemente contaminada,1255.064215,Fuertemente contaminada,,,,,32.8,Aceptable,18.5,Contaminada,10,Fuertemente contaminada,,,,,<1,No tóxico,<1,No tóxico,1.96,Toxicidad moderada,24.39,Toxicidad alta,ROJO,"DQO,TOX_F_F,E_COLI,CF,OD%M,OD%F,"
DLAGU32M1,HIDRANTE PARCELARII DISTRITO DE RIEGO 001 PABELLON,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,PABELLÓN DE ARTEAGA,RÍO SAN PEDRO,PRESA PRESIDENTE CALLES,LÉNTICO,SISTEMA DE RIEGO DE LA PRESA,-102.34201,22.143375,2012-2024,4.58,Buena calidad,26.5,Aceptable,10,Excelente,60.55726635,Excelente,10.13708856,Excelente,,,,,38.8,Aceptable,,,,,,,,,<1,No tóxico,,,<1,No tóxico,,,VERDE,
DLAGU36M1,PRESA LAS MERCEDES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,ASIENTOS,PRESA EL NIÁGARA,PRESA LAS MERCEDES,LÉNTICO,PRESA,-101.86181,21.99751,2012-2024,2.5,Excelente,35.015,Aceptable,11.25,Excelente,152.2115224,Buena calidad,7.238724678,Excelente,,,,,95.85,Excelente,82.3,Excelente,83.4,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU36MI,PRESA MESILLAS,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,TEPEZALA,RIO SAN PEDRO,PRESA MESILLAS,LÉNTICO,PRESA,-102.1602361,22.3111151,2012-2024,,,330,Fuertemente contaminada,47.5,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU40,PRESA MEDIA LUNA 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MEDIA LUNA,LÉNTICO (HUMEDAL),PRESA,-102.77811,21.82335,2012-2024,3.82,Buena calidad,39.69,Aceptable,10,Excelente,3024.433378,Contaminada,528.3078356,Buena calidad,,,,,53.05,Buena calidad,39.1,Aceptable,31.6,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,AMARILLO,"CF,"
DLAGU43,PRESA PEÑA BLANCA 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA PEÑA BLANCA,LÉNTICO,PRESA,-102.75308,21.90446,2012-2024,4.11,Buena calidad,36.36,Aceptable,10,Excelente,299.3744906,Aceptable,10.6614311,Excelente,,,,,88.1,Excelente,51.3,Buena calidad,55.65,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU45,PRESA ORDEÑA VIEJA 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA ORDEÑA VIEJA,LÉNTICO,PRESA,-102.72268,21.94775,2012-2024,3.37,Buena calidad,48.06,Contaminada,10.75,Excelente,217.8402535,Aceptable,14.14373429,Excelente,,,,,94.9,Excelente,75.2,Excelente,46.8,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,ROJO,"DQO,"
DLAGU46,PRESA LA CODORNIZ 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA LA CODORNIZ,LÉNTICO,PRESA,-102.67545,21.99809,2012-2024,4.57,Buena calidad,39.94,Aceptable,13.25,Excelente,227.7692946,Aceptable,19.13918411,Excelente,,,,,99,Excelente,77.35,Excelente,79.9,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU47,PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,-102.65304,21.85799,2012-2024,4.98,Buena calidad,43.8672,Contaminada,14.8525,Excelente,254.1425061,Aceptable,11.7767697,Excelente,,,,,99.7,Excelente,62.2,Buena calidad,40.6,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,ROJO,"DQO,"
DLAGU48,PRESA MAL PASO COLA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,-102.6479,21.85779,2012-2024,4.22,Buena calidad,39.2496,Aceptable,10,Excelente,219.1694996,Aceptable,7.306012919,Excelente,,,,,104.3,Excelente,66.45,Buena calidad,44.2,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU51M1,PRESA ABELARDO RODRIGUEZ 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,-102.4286,21.91633,2012-2024,5.12,Buena calidad,45.53,Contaminada,13.75,Excelente,593.9144422,Aceptable,22.73533183,Excelente,,,,,82.2,Excelente,36.2,Aceptable,29.75,Contaminada,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,1.11,Toxicidad baja,ROJO,"DQO,OD%F,"
DLAGU52,COLA DE LA PRESA ABELARDO RODRIGUEZ 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,-102.43485,21.9116,2012-2024,4.075,Buena calidad,52.22,Contaminada,11.965,Excelente,319.1051108,Aceptable,10.66363336,Excelente,,,,,78.95,Excelente,46.8,Aceptable,36.1,Aceptable,,,,,<1,No tóxico,<1,No tóxico,1.58,Toxicidad moderada,1.26,Toxicidad baja,ROJO,"DQO,"
DLAGU53,PRESA ABELARDO RODRIGUEZ 1000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,-102.4331,21.91555,2012-2024,5.15,Buena calidad,61.77,Contaminada,21,Excelente,483.0396573,Aceptable,7.71400714,Excelente,,,,,86.35,Excelente,42.6,Aceptable,24.75,Contaminada,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,1.96,Toxicidad moderada,ROJO,"DQO,OD%F,"
DLAGU8,PRESA EL SAUCILLO 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,RINCÓN DE ROMOS,RÍO SAN PEDRO,PRESA EL SAUCILLO,LÉNTICO,PRESA,-102.33911,22.2473,2012-2024,4.13,Buena calidad,46.06,Contaminada,13.5,Excelente,171.5569523,Buena calidad,16.06735058,Excelente,,,,,105.95,Excelente,56.2,Buena calidad,59.6,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,ROJO,"DQO,"
DLCAM239,LAGUNA AQUILES SERDAN,PENÍNSULA DE YUCATÁN,CAMPECHE,CHAMPOTÓN,LA MALINCHE,LAGUNA,LÉNTICO,LAGO,-90.71163,18.96285,2012-2024,6.54,Aceptable,25.7,Aceptable,10.5,Excelente,28.45737178,Excelente,25.02135819,Excelente,,,,,58.9,Buena calidad,66.3,Buena calidad,36.63,Aceptable,,,,,1.86,Toxicidad moderada,<1,No tóxico,1.27,Toxicidad baja,<1,No tóxico,VERDE,
DLCAM240,EJIDO LOPEZ MATEOS,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,LA MALINCHE,LAGUNA CENTENARIO,LÉNTICO (HUMEDAL),LAGO,-90.29456,18.64079,2012-2024,18.52,Aceptable,67.015,Contaminada,20,Excelente,82.34446341,Excelente,66.74539786,Excelente,,,,,56.4,Buena calidad,59.4,Buena calidad,62.7,Buena calidad,,,,,2.97,Toxicidad moderada,<1,No tóxico,<1,No tóxico,<1,No tóxico,ROJO,"DQO,"
DLCAM241,LAGUNA CENTENARIO KM. 50,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,LA MALINCHE,LAGUNA CENTENARIO,LÉNTICO,LAGO,-90.27489,18.64156,2012-2024,19.02,Aceptable,83.66,Contaminada,20,Excelente,97.18763856,Excelente,80.76760663,Excelente,,,,,62.3,Buena calidad,53.5,Buena calidad,53.125,Buena calidad,,,,,1.67,Toxicidad moderada,<1,No tóxico,<1,No tóxico,<1,No tóxico,ROJO,"DQO,"
DLCAM242,LAGUNA LAS MARAVILLAS,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,LA MALINCHE,LAGUNA LAS MARAVILLAS,LÉNTICO,LAGO,-90.27154,18.49958,2012-2024,20.28,Aceptable,67.72,Contaminada,31,Buena calidad,66.30064274,Excelente,43.12324514,Excelente,,,,,63.4,Buena calidad,66.55,Buena calidad,58.7,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,ROJO,"DQO,"
DLCAM243,LAGUNA CHAMA-HA,PENÍNSULA DE YUCATÁN,CAMPECHE,ESCÁRCEGA,LA MALINCHE,LAGUNA CHAMA-HA,LÉNTICO (HUMEDAL),LAGO,-90.21145,18.47998,2012-2024,16.68,Aceptable,77.03,Contaminada,28,Buena calidad,67.18737204,Excelente,55.47458898,Excelente,,,,,66.1,Buena calidad,66.1,Buena calidad,74.9,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,ROJO,"DQO,"
DLCAM264,CENOTE MIGUEL COLORADO,PENÍNSULA DE YUCATÁN,CAMPECHE,CHAMPOTÓN,LA MALINCHE,CENOTES,LÉNTICO,CENOTE,-90.64638,18.81138,2012-2024,3.3,Buena calidad,19.68,Buena calidad,10,Excelente,23.06082742,Excelente,18.03402544,Excelente,,,,,60.96,Buena calidad,59.9,Buena calidad,51.17,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,1.2,Toxicidad baja,<1,No tóxico,VERDE,
DLCHI319,TINTERO 4,RÍO BRAVO,CHIHUAHUA,NAMIQUIPA,RÍO SANTA MARÍA 1,RIO SANTA MARIA,LÉNTICO (HUMEDAL),PRESA,-107.38206,29.542969,2012-2024,2,Excelente,10.28,Buena calidad,44.41,Buena calidad,210.6063312,Aceptable,3.795239339,Excelente,,,,,95.9,Excelente,88,Excelente,79,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI320,LAS LAJAS 3,RÍO BRAVO,CHIHUAHUA,BUENAVENTURA,RÍO DEL CARMEN 1,RIO DEL CARMEN,LÉNTICO (HUMEDAL),PRESA,-107.03531,29.882565,2012-2024,2,Excelente,18.39,Buena calidad,123.33,Aceptable,207.6361581,Aceptable,27.23913204,Excelente,,,,,105.2,Excelente,86.2,Excelente,66.2,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI321,LAS LAJAS 2,RÍO BRAVO,CHIHUAHUA,BUENAVENTURA,RÍO DEL CARMEN 1,RIO DEL CARMEN,LÉNTICO (HUMEDAL),PRESA,-107.049826,29.88464,2012-2024,2,Excelente,13.25,Buena calidad,106.67,Aceptable,213.6566281,Aceptable,11.9512809,Excelente,,,,,91.7,Excelente,89.4,Excelente,89.1,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI322,LAS LAJAS 1,RÍO BRAVO,CHIHUAHUA,BUENAVENTURA,RÍO DEL CARMEN 1,RIO DEL CARMEN,LÉNTICO,PRESA,-107.059482,29.877449,2012-2024,2,Excelente,24.24,Aceptable,135,Aceptable,283.7347936,Aceptable,54.82951663,Excelente,,,,,90.95,Excelente,90.4,Excelente,74.6,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI323,TINTERO 3,RÍO BRAVO,CHIHUAHUA,NAMIQUIPA,RÍO SANTA MARÍA 1,RIO SANTA MARIA,LÉNTICO (HUMEDAL),PRESA,-107.36957,29.528689,2012-2024,2,Excelente,19.3,Buena calidad,65.5,Buena calidad,164.65225,Buena calidad,10.002579,Excelente,,,,,98.3,Excelente,93.3,Excelente,76.9,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI324,TINTERO 2,RÍO BRAVO,CHIHUAHUA,NAMIQUIPA,RÍO SANTA MARÍA 1,RIO SANTA MARIA,LÉNTICO (HUMEDAL),PRESA,-107.362579,29.507261,2012-2024,2.5,Excelente,33.695,Aceptable,71.5,Buena calidad,264.8634677,Aceptable,12.72162423,Excelente,,,,,104.6,Excelente,95.5,Excelente,88.15,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI325,SAN MARCOS 1,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,RÍO CONCHOS 3,PRESA SAN MARCOS,LÉNTICO,PRESA,-106.362787,28.789284,2012-2024,2,Excelente,34.78,Aceptable,10.75,Excelente,51.47136851,Excelente,4.059001075,Excelente,,,,,98.1,Excelente,86.6,Excelente,47.2,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI326,SAN MARCOS 2,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,RÍO CONCHOS 3,PRESA SAN MARCOS,LÉNTICO,PRESA,-106.360193,28.789616,2012-2024,2,Excelente,42,Contaminada,11,Excelente,59.01939248,Excelente,1.584893192,Excelente,,,,,97.7,Excelente,76.25,Excelente,67.75,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,1.01,Toxicidad baja,<1,No tóxico,ROJO,"DQO,"
DLCHI327,TINTERO 1,RÍO BRAVO,CHIHUAHUA,NAMIQUIPA,RÍO SANTA MARÍA 1,RIO SANTA MARIA,LÉNTICO,PRESA,-107.375205,29.491906,2012-2024,3,Excelente,34.61,Aceptable,141.7,Aceptable,652.7575502,Aceptable,13.43308478,Excelente,,,,,90.7,Excelente,91.3,Excelente,89.1,Excelente,,,,,<1,No tóxico,<1,No tóxico,1.54,Toxicidad moderada,<1,No tóxico,VERDE,
DLCHI337,PRESA ABRAHAM GONZALEZ II,NOROESTE,CHIHUAHUA,GUERRERO,RÍO YAQUI 1,PRESA ABRAHAM GONZALEZ,LÉNTICO (HUMEDAL),PRESA,-107.45664,28.46236,2012-2024,2,Excelente,17.79,Buena calidad,36,Buena calidad,75.98936131,Excelente,7.47453374,Excelente,,,,,97.6,Excelente,96.25,Excelente,91.2,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI338,PRESA ABRAHAM GONZALEZ I,NOROESTE,CHIHUAHUA,GUERRERO,RÍO YAQUI 1,PRESA ABRAHAM GONZALEZ,LÉNTICO (HUMEDAL),PRESA,-107.47943,28.47532,2012-2024,2,Excelente,13.415,Buena calidad,35,Buena calidad,94.53036736,Excelente,6.818793888,Excelente,,,,,95.15,Excelente,94.4,Excelente,89.7,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI339,PRESA ABRAHAM GONZALEZ III,NOROESTE,CHIHUAHUA,GUERRERO,RÍO YAQUI 1,PRESA ABRAHAM GONZALEZ,LÉNTICO (HUMEDAL),PRESA,-107.48169,28.47946,2012-2024,2,Excelente,15.04,Buena calidad,28.67,Buena calidad,161.8281433,Buena calidad,7.159347946,Excelente,,,,,97.35,Excelente,95.95,Excelente,90.35,Excelente,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLCHI340,PRESA ABRAHAM GONZALEZ,NOROESTE,CHIHUAHUA,GUERRERO,RÍO YAQUI 1,PRESA ABRAHAM GONZALEZ,LÉNTICO (HUMEDAL),PRESA,-107.48402,28.48188,2012-2024,2,Excelente,15.2,Buena calidad,45,Buena calidad,120.6653817,Buena calidad,14.08842549,Excelente,,,,,98.5,Excelente,91.6,Excelente,69.9,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
